text,entity,umap_x,umap_y,tsne_x,tsne_y,type
Fox Canyon Groundwater Management Agency Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b2eb63,11.116784,-0.5906813,-34.608864,5.278132,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Regenerative Organic Certified,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b6744d,9.217574,4.5184774,32.740414,-21.578215,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Ventura County Watershed Protection Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b7d99e,11.423922,1.9795009,-27.273623,-41.238804,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Guidelines for Salmonid Passage at Stream Crossings,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_b84a1a,9.844806,2.545023,5.0148215,-24.230562,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Executive Order on Protecting Public Health and the Environment and Restoring Science to Tackle the Climate Crisis,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_ba1a29,9.287644,4.999735,29.535425,-31.371023,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Wild and Scenic Rivers Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_c373e7,10.001154,3.1982522,-5.1697035,-49.167244,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Fish and Game Code,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_c46250,11.094335,3.4664147,1.1616187,-48.861267,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Sikes Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_c55a0b,9.495231,3.9648552,35.57286,2.8373039,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Americans with Disabilities Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_ca1c72,10.006355,4.118059,15.934449,-39.533867,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Coho Salmon Recovery Tasks,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_d5da60,9.867559,2.604376,6.3059707,-22.743309,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Clean Air Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_d65da1,11.291971,2.7794158,4.054237,-29.962557,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Certified Organic,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_d79905,9.253731,4.53253,32.880974,-21.697132,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Bringing the Birds Back: A Guide to Habitat Enhancement in Riparian and Oak Woodlands for the North Bay Region,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_d9b5a9,9.61258,2.1520605,7.6866217,-15.001803,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Fish and Wildlife Coordination Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_d9d5ce,9.7092085,3.109898,7.340635,-25.533941,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Food Safety Modernization Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_db79c1,9.3021,4.286659,31.045988,-19.25234,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Fixing America’s Surface Transportation Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_ddd0bf,9.690712,4.249779,17.848318,-28.485748,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
California Wild and Scenic Rivers Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e263ea,11.001127,3.5326679,-4.966258,-49.314617,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
G.A.P. Certification,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e37507,9.52576,4.108613,40.25743,3.2727618,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Improving Mitigation Policies and Practices of the Department of the Interior,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e3793d,8.905306,3.9076183,21.470549,-6.3068686,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Certified California Sustainable Winegrowing,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e3b8a8,10.632793,4.1496086,14.487793,-55.946354,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Bee Friendly Farming,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e455c7,8.958565,4.272095,31.536947,-0.9801562,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
El Dorado County Water Agency Act,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e4c692,12.225538,-0.41009364,-47.32135,-11.189816,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Sonoma County Sustainable,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e6ebcd,10.895267,1.8508669,-5.8774753,-21.879072,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
USDA Organic,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_e77316,9.088111,4.5157986,32.07165,-20.258936,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Interim Endangered and Threatened Species Recovery Planning Guidance Version 1.3,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_eca0b2,9.368103,3.4213915,15.020595,-22.596886,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
Non-GMO Project Standard,https://raw.githubusercontent.com/adhollander/FSLschemas/main/CA_PPODterms.ttl#gmt_ece768,9.119773,4.5957646,34.679432,-20.926018,http://www.sdsconsortium.org/schemas/sds-okn.owl#BestPracticesAndMandates
